elf_code,country_code,entity_legal_form
4H0F,FR,Autre établissement public local de coopérationnon spécialisé ou entente
4JS0,FR,Association syndicale autorisée
4RT7,FR,SA de HLM à conseil d'administration
4TNX,FR,Profession libérale
4VD7,FR,Pôle d'équilibre territorial et rural (PETR)
59F9,FR,Groupement foncier agricole
5AJO,FR,Caisse d'Épargne et de Prévoyance
5H68,FR,Commerçant
5K0Q,FR,Établissement public local social et médico-social
5VCF,FR,SA à directoire (s.a.i.)
61WE,FR,Institution de retraite supplémentaire
66JQ,FR,Syndicat de copropriété
6CHY,FR,"SAS, société par actions simplifiée"
6CJJ,FR,SCP de géométres experts
6DYI,FR,Société de Participations Financiéres de ProfessionLibérale Société à responsabilité limitée (SPFPLSARL)
6IIE,FR,SA coopérative (d'intérêt) maritime à conseild'administration
6KWU,FR,Société d'exercice libéral en commandite paractions
6RUE,FR,Groupement européen d'intérêt économique (GEIE)
6SYJ,FR,SA de HLM à directoire
6YHU,FR,SA d'intérêt collectif agricole (SICA) à conseild'administration
74HH,FR,SCP de vétérinaires
7O94,FR,Groupement forestier
7SZH,FR,Autre groupement de droit privé non doté de lapersonnalité morale
7UHA,FR,Collectivité et territoire d'Outre Mer
82QO,FR,Service déconcentré de l'État à compétence (inter)départementale
87VO,FR,Safer anonyme à directoire
8FZW,FR,SCP de conseils juridiques
8G07,FR,(Autre) Personne physique
8GTU,FR,(Autre) Service déconcentré de l'État à compétenceterritoriale
8II5,FR,Autre SA coopérative à conseil d'administration
8IWA,FR,Commune associée et commune déléguée
8LX5,FR,Autre régime de prévoyance sociale
8OKM,FR,Service déconcentré à compétence nationale d'unministére (hors Défense)
8R2G,FR,Société civile immobiliére de construction-vente
8TYA,FR,Autre SA coopérative à directoire
